headlines,outcome
Doctored photo is latest attack on Bill Gates amid COVID 19 vaccine push,Misinformation
Donald Trump announced a vaccine capable of curing the new coronavirus in three hours,Misinformation
Donald Trump announced that Roche will launch a vaccine for coronavirus next Sunday,Misinformation
Dr  Abdul Rahman Al Youbi irector of King Abdulaziz University in Saudi Arabia hares the news of a new vaccine for Covid 19 created by Saudi doctors,Misinformation
Dr  Anthony Fauci said   as soon as a COVID 19 vaccine is manufactured t must be delivered to healthcare professionals for immediate human injection  Proper studies can be done later,Misinformation
Dr  Elisa Granato he first volunteer for vaccine trials in UK as died,Misinformation
Dr  Elisa Granato ne of the first volunteers to receive a potential COVID 19 vaccine in the U K  as died,Misinformation
Dr  Fauci confirms to Congress how the vaccine increases the dangerousness of the novel coronavirus,Misinformation
Dr  Gerardo Dovakin found a vaccine against coronavirus,Misinformation
Dr  Lupita Yamamoto has found a vaccine that destroys the coronavirus,Misinformation
Dr  VK Srinivas ice President of Bharath Biotech e is taking first injection of COVID 19 vaccine  They have confidence in their product,Misinformation
Dr Anthony Fauci said a COVID 19 vaccine must be delivered to people without  proper studies  being carried out,Misinformation
Dr Elisa Granato ne of the first participants in a UK COVID 19 vaccine trial as died,Misinformation
Dr Mikovits n established scientist evealed that Dr Anthony Fauci was paid to cover up the extent of the problem caused by COVID 19  Also she revealed that SARS CoV 2 was created in a lab and that influenza vaccines increase COVID 19 mortality by 36%,Misinformation
Due to the large number of people who will refuse the forthcoming COVID 19 vaccine because it will include tracking microchips he Gates Foundation is now spending billions to ensure that all medical and dental injections and procedures include the chips,Misinformation
Due to the large number of people who will refuse the forthcoming COVID 19 vaccine because it will include tracking microchips he Gates Foundation is now spending billions to ensure that all medical and dental injections and procedures include the chips,Misinformation
Ecuadorian doctor develops a vaccine for COVID 19,Misinformation
Egypt Health Minister has given China the vaccine against the coronavirus,Misinformation
Egypt Health Minister has given China the vaccine against the coronavirus,Misinformation
Elisa Granato  32 year old  he first woman to get vaccine for COVID 19 ied,Misinformation
Elisa Granato he first volunteer in the first Europe human trial of a COVID 19 vaccine as died,Misinformation
Emmanuel Macron decided that African people couldn t enter the European terroritory anymore unless they have been vaccined with the European vaccine,Misinformation
Emmanuel Macron said the African people no longer will travel to Europe f they refused to use the European vaccine against COVID 19,Misinformation
Facebook and Instagram posts shared thousands of times claim that vaccines directly violate the Nuremberg Code  set of research ethics principles for human experimentation established after World War II,Misinformation
Facebook posts shared in at least three countries as scientists work to develop a COVID 19 vaccine claim to offer a legal way to refuse vaccination,Misinformation
Facebook user asserted that U S  President Donald Trump has announced a vaccine for COVID 19,Misinformation
False  Animal Vaccines Prove COVID 19 Is Not A New Viral Disease,Misinformation
False  Rahul Kanwal s claim about Trump suggesting early access of COVID 19 vaccine to India,Misinformation
False claims about first vaccine recipients spread on social media,Misinformation
First recipients of a COVID 19 test vaccine is dead,Misinformation
First volunteer in UK coronavirus vaccine trial Elisa Granato has died,Misinformation
First volunteer in UK coronavirus vaccine trial has died,Misinformation
First volunteer in UK coronavirus vaccine trial has died,Misinformation
First Volunteer in UK COVID 19 Vaccine Trial Dead  Hoax Alert,Misinformation
First Volunteer in UK COVID 19 Vaccine Trial Dead  Hoax Alert,Misinformation
Flu vaccine does not increase the risk of a coronavirus infection,Misinformation
Flu vaccine increases coronavirus risk 36% ays military study,Misinformation
Former diplomat Henry Kissinger encouraged mandatory vaccination n order to facilitate radical sanitary measures such as forced sterilization or genetic modification,Misinformation
Four kids who took the coronavirus vaccine died immediately,Misinformation
France found a vaccine for the coronavirus,Misinformation
French champion of chloroquine Didier Raoult is supposed to have said not to use Bill Gates  vaccines,Misinformation
French high school in the town of Langres was chosen to test a vaccine against COVID 19,Misinformation
French president Emanuel Macron announced a vaccine mandate for Africans willing to travel to Europe,Misinformation
French professor Didier Raoult irector of IHU Marseille old Africans not to take  Bill Gates  vaccine  against coronavirus because it is  poisonous,Misinformation
Gates Foundation stands to make nearly ?1 5 billion on a coronavirus vaccine in U K,Misinformation
Gates Foundation stands to make nearly 31 5 billion on a coronavirus vaccine in U K,Misinformation
Genefir Haller he woman who voluntereed to try one of the COVID 19 vaccines s dead,Misinformation
Georgian blood is unique  It may prove useful to fight COVID 19   According to the article octor Dick Longballs from the Virology Research Center in the city of Hartford he U S  state of Connecticut ho is involved in developing a vaccine against COVID 19 iscovered that Georgian blood contains special particles,Misinformation
German police can enter homes and forcibly vaccinate people,Misinformation
Getting the COVID-19 vaccine gives you COVID-19,Misinformation
Getting the COVID-19 vaccine means I can stop wearing my mask and taking coronavirus precautions.,Misinformation
Harry Kissinger quoted as saying  Once the herd accepts mandatory forcible vaccination t s game over,Misinformation
Harvard scientists explain  Here s how you can cure the coronavirus yourself before the vaccine comes out and a WhatsApp message states   The Ministry of Health has approved an immediate 350 euro reward for those staying home   The first child that lost his life because of coronavirus,Misinformation
Harvard scientists explain  Here s how you can cure the coronavirus yourself before the vaccine comes out and a WhatsApp message states   The Ministry of Health has approved an immediate 350 euro reward for those staying home   The first child that lost his life because of coronavirus,Misinformation
Henry Kissinger said that population reduction should be done by vaccines  for the common good,Misinformation
Hoax photo of Pfizer  vape  COVID vaccine made in China goes viral,Misinformation
Human testing of a COVID 19 vaccine is currently being conducted in Kenya,Misinformation
Humans are getting sick because the  bioengineered  coronavirus in one s body is reacting to 5G nd a coronavirus vaccine  with an RFID chip  will be introduced as the cure for the disease alled  mark of the beast,Misinformation
